scenario,algorithm,seed,total_regret,mean_regret,physical_probes,remote_substitutions,communication_bytes,bad_aggressive_decisions,aggressive_decisions,policy_switches,recovery_delay_1,recovery_delay_2,total_decision_ops,mean_decision_ops,information_gain,information_per_probe,information_per_regret,max_state_count
baseline_adversarial,ITAC_K_GenericVoI_Local,17,20734.863684438125,4.607747485430695,4500,0,10032,188,2845,708,12.0,0.0,54000,12.0,60.01154450514769,0.013335898778921709,0.0028942338574517563,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,17,11776.86824920023,2.6170818331556065,1813,635,54188,95,3242,417,0.0,0.0,45792,10.176,58.65772581556324,0.03235395797879936,0.004980757581248029,19
baseline_adversarial,ITAC_K_NoKinematics,17,18988.80798261203,4.219735107247118,3725,178,21508,182,2972,662,1.0,0.0,51612,11.469333333333333,60.304413105796854,0.016189104189475667,0.0031757871879592096,19
baseline_adversarial,ITAC_K_NoHysteresis,17,15285.207049500172,3.396712677666705,3104,151,19532,156,3219,526,0.0,0.0,49020,10.893333333333333,62.248946318626224,0.020054428582031644,0.004072496114513658,19
baseline_adversarial,Greedy,18,28759.19234022761,6.390931631161691,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,18,29136.09033770126,6.474686741711391,40,0,0,10,1070,18,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,18,23866.156632199367,5.30359036271097,390,0,0,50,1846,458,20.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,18,29102.63706183004,6.467252680406675,222,0,0,30,1212,339,,69.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,18,29495.071675938492,6.554460372430776,87,0,0,15,1081,161,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,18,18613.870592212315,4.136415687158292,3673,249,26448,180,2963,689,16.0,0.0,51688,11.486222222222223,59.69734452072203,0.01625302056104602,0.0032071429864618402,19
baseline_adversarial,ITAC_K_LocalOnly,18,19082.299901324477,4.240511089183217,4329,0,9120,175,2951,738,3.0,0.0,53316,11.848,59.69264316665453,0.013789014360511557,0.0031281681702587296,19
baseline_adversarial,ITAC_K_GenericVoI_Local,18,19096.46879235089,4.243659731633531,4500,0,9728,176,2946,692,3.0,0.0,54000,12.0,59.15189150291016,0.01314486477842448,0.003097530341662094,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,18,13610.828537384197,3.024628563863155,2704,655,54872,151,3300,555,0.0,0.0,49436,10.985777777777777,54.61006564093731,0.02019603019265433,0.00401225138432554,19
baseline_adversarial,ITAC_K_NoKinematics,18,18613.870592212315,4.136415687158292,3673,249,26448,180,2963,689,16.0,0.0,51688,11.486222222222223,59.69734452072203,0.01625302056104602,0.0032071429864618402,19
baseline_adversarial,ITAC_K_NoHysteresis,18,16201.529981613327,3.6003399959140725,3322,243,25916,155,3114,637,2.0,0.0,50260,11.168888888888889,59.68015916535905,0.017965129188849804,0.0036836125497461307,19
baseline_adversarial,Greedy,19,29015.627268973818,6.447917170883071,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
